ages,accident_damages,Insurance,service_repairs,Name,Price,Mileage,torque,horsepower,fuel_capacity,dimension,wheelbase,front_tire_size,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,mile_per_gallon,engine_text,drive_type_text,transmission_text,color_ext_int,prior_use,keys
6 year(s),No Accidents or Damage Reported,Null,,2017 Ram 1500 Tradesman,"$19,998*",119K miles,269 torque@4175rpm,305 horsepower@6400rpm,26 gal,"229"" L x 79.4"" W x 77.2"" H","140""",P265/70SR17,"41""","41""",Null,"4,877 lbs","4,650/4,650 lbs",17 city/25 hwy,"6-cyl, Gas, 3.6L",Rear Wheel Drive,Automatic,Silver/Black,,2']
7 year(s),,Null,,2016 Chevrolet Silverado 1500 LT,"$25,998*",60K miles,,,26 gal,Null,"143.5""",P255/70R17,"45.27""","42.80""",Null,Null,"11,100/11,100 lbs",18 city/24 hwy,"8-cyl, Gas, 5.3L",Rear Wheel Drive,Automatic,Gray/Black,,2']
1 year(s),No Accidents or Damage Reported,Null,,2022 Ram 2500 Tradesman,"$45,998*",8K miles,429 torque@4000rpm,410 horsepower@5600rpm,31 gal,"238.8"" L x 79.5"" W x 80.2"" H","149""",LT245/70SR17,"40.9""","40.9""",Null,"6,642 lbs","14,380/14,380 lbs",Null,"8-cyl, Gas, 6.4L",Four Wheel Drive,Automatic,Black/Gray,,2']
4 year(s),No Accidents or Damage Reported,Null,2 Service Record(s) Reported,2019 GMC Sierra 1500 SLT,"$43,998*",46K miles,383 torque@4100rpm,355 horsepower@5600rpm,24 gal,"241.25"" L x 81.24"" W x 75.4"" H","156.98""",265/65R18SL,"44.53""","43.03""",Null,"4,887 lbs","12,000/12,000 lbs",15 city/21 hwy,"8-cyl, Gas, 5.3L",Four Wheel Drive,Automatic,Gray/Black,,2']
3 year(s),No Accidents or Damage Reported,Null,,2020 GMC Sierra 1500 SLE,"$39,998*",31K miles,383 torque@4100rpm,355 horsepower@5600rpm,24 gal,"241.25"" L x 81.24"" W x 75.4"" H","156.98""",255/70R17,"44.53""","43.03""",Null,"4,887 lbs","11,000/11,000 lbs",16 city,"8-cyl, Gas, 5.3L",Four Wheel Drive,Automatic,Gray/Gray,,2']
3 year(s),No Accidents or Damage Reported,Null,,2020 Chevrolet Silverado 1500 LT,"$34,998*",45K miles,348 torque@1500rpm,310 horsepower@5600rpm,24 gal,"241.21"" L x 81.24"" W x 75.35"" H","156.95""",255/70R17,"44.53""","43.03""",Null,"4,674 lbs","11,400/11,400 lbs",20 city/23 hwy,"4-cyl, Turbo Gas, 2.7L",Rear Wheel Drive,Automatic,Gray/Black,,2']
Current Year,No Accidents or Damage Reported,Null,,2023 Ford Maverick XLT,"$35,998*",1K miles,155 torque@4000rpm,191 horsepower@5600rpm,13.8 gal,"199.7"" L x 72.6"" W x 68.7"" H","121.1""",P225/65HR17,"42.8""","40.3""",Null,"3,636 lbs","2,000/2,000 lbs",Null,"4-cyl, Hybrid, 2.5L",Front Wheel Drive,Automatic,Gray/Gray,,2']
Current Year,No Accidents or Damage Reported,Null,,2023 Chevrolet Silverado 1500 Custom,"$41,998*",12K miles,430 torque@3000rpm,310 horsepower@5600rpm,24 gal,"241.41"" L x 81.24"" W x 75.4"" H","156.95""",275/60R20,"44.53""","43.03""",Null,"4,883 lbs","8,900/8,900 lbs",Null,"4-cyl, Turbo Gas, 2.7L",Four Wheel Drive,Automatic,Black/Black,,2']
4 year(s),No Accidents or Damage Reported,Null,,2019 Ford F150 XLT,"$32,998*",39K miles,265 torque@4000rpm,290 horsepower@6500rpm,26 gal,"231.9"" L x 79.9"" W x 75.6"" H","145""",P245/70SR17,"43.9""","40.8""",Null,"4,528 lbs","5,000/5,000 lbs",19 city/25 hwy,"6-cyl, Gas, 3.3L",Rear Wheel Drive,Automatic,Black/Gray,,2']
3 year(s),No Accidents or Damage Reported,Null,,2020 Ford F150 XLT,"$35,998*",44K miles,265 torque@4000rpm,290 horsepower@6500rpm,26 gal,"231.9"" L x 79.9"" W x 77.2"" H","145""",P265/70SR17,"43.9""","40.8""",Null,"4,770 lbs","5,000/5,000 lbs",18 city/23 hwy,"6-cyl, Gas, 3.3L",Four Wheel Drive,Automatic,Gray/Gray,,2']
3 year(s),,Null,,2020 Toyota Tacoma SR,"$30,998*",36K miles,180 torque@3800rpm,159 horsepower@5200rpm,21.1 gal,"212.3"" L x 74.4"" W x 70.6"" H","127.4""",P245/75SR16,"42.9""","39.7""",Null,"4,095 lbs","3,500/3,500 lbs",20 city/23 hwy,"4-cyl, Gas, 2.7L",Rear Wheel Drive,Automatic,Silver/Gray,,2']
4 year(s),No Accidents or Damage Reported,Null,,2019 Ram 1500 Classic SLT,"$27,998*",52K miles,410 torque@3950rpm,395 horsepower@5600rpm,26 gal,"237.9"" L x 79.4"" W x 77.5"" H","149""",P265/70SR17,"41""","41""",Null,"5,269 lbs","8,010/8,010 lbs",15 city/22 hwy,"8-cyl, Gas, 5.7L",Rear Wheel Drive,Automatic,Black/Gray,,2']
Current Year,No Accidents or Damage Reported,Null,,2023 Toyota Tundra SR5,"$45,998*",17K miles,479 torque@2400rpm,389 horsepower@5200rpm,22.5 gal,"233.6"" L x 80.2"" W x 78"" H","145.7""",P265/70TR18,"41.2""","41""",Null,"5,095 lbs","11,370/11,370 lbs",18 city/23 hwy,"6-cyl, Turbo Gas, 3.5L",Rear Wheel Drive,Automatic,Gray/Gray,,2']
3 year(s),No Accidents or Damage Reported,Null,3 Service Record(s) Reported,2020 Jeep Gladiator Rubicon,"$42,998*",28K miles,260 torque@4400rpm,285 horsepower@6400rpm,22 gal,"218"" L x 73.8"" W x 76.1"" H","137.3""",LT285/70SR17,"41.2""","42.8""",Null,"5,050 lbs","4,500/4,500 lbs",16 city/23 hwy,"6-cyl, Gas, 3.6L",Null,Automatic,Black/Black,,2']
7 year(s),,Null,8 Service Record(s) Reported,2016 Ford F150 XLT,"$27,998*",37K miles,253 torque@4250rpm,282 horsepower@6250rpm,23 gal,"231.9"" L x 79.9"" W x 75.5"" H","145""",P245/70SR17,"43.9""","40.8""",Null,"4,392 lbs","5,000/5,000 lbs",18 city/25 hwy,"6-cyl, Gas, 3.5L",Rear Wheel Drive,Automatic,Burgundy/Gray,,2']
7 year(s),No Accidents or Damage Reported,Null,8 Service Record(s) Reported,2016 Toyota Tacoma TRD Off Road,"$30,998*",63K miles,265 torque@4600rpm,278 horsepower@6000rpm,21.1 gal,"225.5"" L x 75.2"" W x 70.6"" H","140.6""",P265/70SR16,"42.9""","39.7""",Null,"4,480 lbs","3,500/3,500 lbs",18 city/23 hwy,"6-cyl, Gas, 3.5L",Four Wheel Drive,Automatic,White/Gray,,2']
8 year(s),,Null,,2015 Ram 1500 Laramie Longhorn,"$33,998*",80K miles,420 torque@2000rpm,240 horsepower@3600rpm,32 gal,"237.9"" L x 79.4"" W x 77.9"" H","149""",P275/60SR20,"41""","41""",Null,"5,684 lbs","7,750/7,750 lbs",19 city/27 hwy,"6-cyl, Turbo Diesel, 3.0L",Four Wheel Drive,Automatic,Black/Brown,,2']
Current Year,No Accidents or Damage Reported,Null,,2023 Jeep Gladiator Sport S,"$39,998*",18K miles,260 torque@4400rpm,285 horsepower@6400rpm,22 gal,"218"" L x 73.8"" W x 75"" H","137.3""",P245/75SR17,"41.2""","42.8""",Null,"4,650 lbs","4,000/4,000 lbs",Null,"6-cyl, Gas, 3.6L",Null,Automatic,Black/Black,,2']
5 year(s),No Accidents or Damage Reported,Null,3 Service Record(s) Reported,2018 Ram 1500 Bighorn,"$33,998*",44K miles,410 torque@3950rpm,395 horsepower@5600rpm,26 gal,"229"" L x 79.4"" W x 77.5"" H","140""",P275/60SR20,"41""","41""",Null,"5,219 lbs","4,250/4,250 lbs",15 city/21 hwy,"8-cyl, Gas, 5.7L",Four Wheel Drive,Automatic,White/Gray,,2']
3 year(s),No Accidents or Damage Reported,Null,2 Service Record(s) Reported,2020 Ram 1500 Bighorn,"$33,998*",38K miles,269 torque@4800rpm,305 horsepower@6400rpm,26 gal,"232.9"" L x 82.1"" W x 77.6"" H","144.5""",P275/65SR18,"40.9""","40.9""",Null,"5,082 lbs","6,280/6,280 lbs",19 city/24 hwy,"6-cyl, Gas, 3.6L",Four Wheel Drive,Automatic,Red/Gray,,2']
1 year(s),No Accidents or Damage Reported,Null,,2022 Chevrolet Silverado 1500 Work Truck,"$27,998*",26K miles,,,24 gal,"231.88"" L x 81.2"" W x 75.6"" H","147.45""",255/70R17,"44.5""","43""",Null,"4,594 lbs","9,500/9,500 lbs",Null,"8-cyl, Gas, 5.3L",Rear Wheel Drive,Automatic,White/Black,,2']
3 year(s),No Accidents or Damage Reported,Null,,2020 Chevrolet Silverado 1500 Custom,"$34,998*",61K miles,305 torque@3900rpm,285 horsepower@5300rpm,24 gal,"241.21"" L x 81.24"" W x 75.4"" H","156.95""",275/60R20,"44.53""","43.03""",Null,"4,867 lbs","9,500/9,500 lbs",15 city/20 hwy,"6-cyl, Gas, 4.3L",Four Wheel Drive,Automatic,Black/Black,,2']
3 year(s),No Accidents or Damage Reported,Null,,2020 Ram 1500 Laramie,"$47,998*",21K miles,410 torque@3950rpm,395 horsepower@5600rpm,26 gal,"232.9"" L x 82.1"" W x 77.6"" H","144.5""",P275/65SR18,"40.9""","40.9""",Null,"5,196 lbs","6,280/6,280 lbs",15 city/21 hwy,"8-cyl, Gas, 5.7L",Four Wheel Drive,Automatic,Gray/Black,,2']
2 year(s),No Accidents or Damage Reported,Null,,2021 Jeep Gladiator Overland,"$34,998*",53K miles,260 torque@4400rpm,285 horsepower@6400rpm,22 gal,"218"" L x 73.8"" W x 75"" H","137.3""",P255/70SR18,"41.2""","42.8""",Null,"4,720 lbs","4,000/4,000 lbs",16 city/23 hwy,"6-cyl, Gas, 3.6L",Null,Automatic,White/Black,,2']
3 year(s),No Accidents or Damage Reported,Null,2 Service Record(s) Reported,2020 Ram 1500 Bighorn,"$33,998*",48K miles,269 torque@4800rpm,305 horsepower@6400rpm,26 gal,"241.8"" L x 82.1"" W x 77.4"" H","153.5""",P275/65SR18,"40.9""","40.9""",Null,"4,935 lbs","6,590/6,590 lbs",20 city/25 hwy,"6-cyl, Gas, 3.6L",Rear Wheel Drive,Automatic,Red/Black,,2']
8 year(s),No Accidents or Damage Reported,Null,,2015 Chevrolet Silverado 1500 LT,"$29,998*",86K miles,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,"8-cyl, Gas, 5.3L",Null,Automatic,Black/Black,,2']
6 year(s),,Null,,2017 Chevrolet Silverado 1500 LT,"$26,998*",101K miles,383 torque@4100rpm,355 horsepower@5600rpm,26 gal,Null,"143.5""",P255/70R17,"45.27""","42.80""",Null,Null,"11,100/11,100 lbs",16 city/23 hwy,"8-cyl, Gas, 5.3L",Rear Wheel Drive,Automatic,Green/Gray,,2']
6 year(s),No Accidents or Damage Reported,Null,9 Service Record(s) Reported,2017 Toyota Tundra SR5,"$31,998*",43K miles,327 torque@3400rpm,310 horsepower@5600rpm,26.4 gal,"228.9"" L x 79.9"" W x 76"" H","145.7""",P255/70TR18,"42.5""","39.7""",Null,"5,100 lbs","6,800/6,800 lbs",15 city/19 hwy,"8-cyl, Gas, 4.6L",Rear Wheel Drive,Automatic,Black/Black,,2']
5 year(s),,Null,,2018 Ford F150 Lariat,"$37,998*",60K miles,470 torque@3500rpm,375 horsepower@5000rpm,26 gal,"243.7"" L x 79.9"" W x 77.3"" H","157""",P275/65SR18,"43.9""","40.8""",Null,"4,912 lbs","7,000/7,000 lbs",17 city/23 hwy,"6-cyl, Turbo Gas, 3.5L",Four Wheel Drive,Automatic,Silver/Black,,2']
1 year(s),No Accidents or Damage Reported,Null,,2022 Hyundai Santa Cruz SEL,"$26,998*",21K miles,181 torque@4000rpm,191 horsepower@6100rpm,17.7 gal,"195.7"" L x 75"" W x 66.7"" H","118.3""",P245/60HR18,"41.4""","40.7""",Null,"3,725 lbs","3,500/3,500 lbs",21 city/26 hwy,"4-cyl, Gas, 2.5L",Front Wheel Drive,Automatic,White/Black,,2']
4 year(s),No Accidents or Damage Reported,Null,4 Service Record(s) Reported,2019 Ford F150 XL,"$29,998*",35K miles,400 torque@2750rpm,325 horsepower@5000rpm,23 gal,"250.5"" L x 79.9"" W x 75.5"" H","163""",P245/70SR17,"43.9""","40.8""",Null,"4,644 lbs","5,000/5,000 lbs",20 city/26 hwy,"6-cyl, Turbo Gas, 2.7L",Rear Wheel Drive,Automatic,Blue/Black,,2']
4 year(s),No Accidents or Damage Reported,Null,,2019 Ram 1500 Limited,"$43,998*",47K miles,410 torque@3950rpm,395 horsepower@5600rpm,26 gal,"232.9"" L x 82.1"" W x 77.6"" H","144.5""",P275/55TR20,"40.9""","40.9""",Null,"5,232 lbs","6,280/6,280 lbs",15 city/21 hwy,"8-cyl, Gas, 5.7L",Four Wheel Drive,Automatic,Gray/Black,,2']
7 year(s),,Null,2 Service Record(s) Reported,2016 Ford F150 XLT,"$26,998*",109K miles,387 torque@3850rpm,385 horsepower@5750rpm,23 gal,"231.9"" L x 79.9"" W x 77.2"" H","145""",P265/70SR17,"43.9""","40.8""",Null,"4,709 lbs","7,100/7,100 lbs",15 city/21 hwy,"8-cyl, Gas, 5.0L",Four Wheel Drive,Automatic,Green/Gray,,2']
3 year(s),No Accidents or Damage Reported,Null,,2020 Ram 1500 Limited,"$48,998*",43K miles,410 torque@3950rpm,395 horsepower@5600rpm,26 gal,"241.8"" L x 82.1"" W x 77.5"" H","153.5""",P275/55TR20,"40.9""","40.9""",Null,"5,375 lbs","6,160/6,160 lbs",15 city/21 hwy,"8-cyl, Gas, 5.7L",Four Wheel Drive,Automatic,Gray/Tan,,2']
3 year(s),,Null,,2020 Ram 1500 Laramie,"$39,998*",36K miles,410 torque@3950rpm,395 horsepower@5600rpm,26 gal,"232.9"" L x 82.1"" W x 77.6"" H","144.5""",P275/65SR18,"40.9""","40.9""",Null,"5,196 lbs","6,280/6,280 lbs",15 city/21 hwy,"8-cyl, Gas, 5.7L",Four Wheel Drive,Automatic,Silver/Black,,2']
1 year(s),No Accidents or Damage Reported,Null,,2022 Chevrolet Silverado 1500 LTD LTZ,"$53,998*",18K miles,383 torque@4100rpm,355 horsepower@5600rpm,24 gal,"231.7"" L x 81.24"" W x 75.51"" H","147.43""",275/60R20,"44.53""","43.03""",Null,"4,815 lbs","11,900/11,900 lbs",15 city/20 hwy,"8-cyl, Gas, 5.3L",Four Wheel Drive,Automatic,Gray/Black,,2']
6 year(s),No Accidents or Damage Reported,Null,,2017 Ram 1500 Laramie,"$26,998*",114K miles,420 torque@2000rpm,240 horsepower@3600rpm,26 gal,"229"" L x 79.4"" W x 78.1"" H","140""",P275/60SR20,"41""","41""",Null,"5,334 lbs","4,190/4,190 lbs",16 city/23 hwy,"6-cyl, Turbo Diesel, 3.0L",Four Wheel Drive,Automatic,White/Black,,2']
1 year(s),No Accidents or Damage Reported,Null,,2022 Ford F150 XL,"$44,998*",9K miles,410 torque@4250rpm,400 horsepower@6000rpm,26 gal,"243.5"" L x 79.9"" W x 77.6"" H","157""",P265/70SR17,"43.9""","40.8""",Null,"5,014 lbs","9,300/9,300 lbs",16 city/22 hwy,"8-cyl, Gas, 5.0L",Four Wheel Drive,Automatic,Gray/Black,,2']
4 year(s),No Accidents or Damage Reported,Null,,2019 Ram 1500 Laramie,"$39,998*",47K miles,410 torque@3950rpm,395 horsepower@5600rpm,26 gal,"241.8"" L x 82.1"" W x 77.5"" H","153.5""",P275/65SR18,"40.9""","40.9""",Null,"5,160 lbs","6,320/6,320 lbs",15 city/21 hwy,"8-cyl, Gas, 5.7L",Four Wheel Drive,Automatic,Black/Black,,2']
2 year(s),No Accidents or Damage Reported,Null,,2021 Chevrolet Silverado 2500 LT,"$49,998*",37K miles,464 torque@4000rpm,401 horsepower@5200rpm,36 gal,"266"" L x 81.85"" W x 79.65"" H","172""",LT245/75R17E,"44.53""","43.03""",Null,"6,731 lbs","18,500/18,500 lbs",Null,"8-cyl, Gas, 6.6L",Four Wheel Drive,Automatic,White/Black,,2']
3 year(s),No Accidents or Damage Reported,Null,,2020 Ram 1500 Bighorn,"$36,998*",29K miles,410 torque@3950rpm,395 horsepower@5600rpm,26 gal,"232.9"" L x 82.1"" W x 77.6"" H","144.5""",P275/65SR18,"40.9""","40.9""",Null,"5,082 lbs","6,280/6,280 lbs",15 city/21 hwy,"8-cyl, Gas, 5.7L",Four Wheel Drive,Automatic,Blue/Gray,,2']
4 year(s),No Accidents or Damage Reported,Null,,2019 Ram 1500 Limited,"$42,998*",68K miles,410 torque@3950rpm,395 horsepower@5600rpm,26 gal,"232.9"" L x 82.1"" W x 77.6"" H","144.5""",P275/55TR20,"40.9""","40.9""",Null,"5,232 lbs","6,280/6,280 lbs",15 city/21 hwy,"8-cyl, Gas, 5.7L",Four Wheel Drive,Automatic,Gray/Black,,2']
5 year(s),,Null,,2018 Toyota Tacoma SR5,"$31,998*",56K miles,265 torque@4600rpm,278 horsepower@6000rpm,21.1 gal,"225.5"" L x 74.4"" W x 70.6"" H","140.6""",P245/75SR16,"42.9""","39.7""",Null,"4,425 lbs","6,400/6,400 lbs",18 city/22 hwy,"6-cyl, Gas, 3.5L",Four Wheel Drive,Automatic,Orange/Gray,,2']
6 year(s),,Null,,2017 Ram 1500 Tradesman,"$21,998*",87K miles,410 torque@3950rpm,395 horsepower@5600rpm,26 gal,"229"" L x 79.4"" W x 77.2"" H","140""",P265/70SR17,"41""","41""",Null,"4,877 lbs","4,650/4,650 lbs",17 city/25 hwy,"8-cyl, Gas, 5.7L",Rear Wheel Drive,Automatic,Gray/Gray,,2']
1 year(s),No Accidents or Damage Reported,Null,,2022 Nissan Frontier SV,"$31,998*",17K miles,281 torque@4400rpm,310 horsepower@6400rpm,21.1 gal,"224.1"" L x 73"" W x 72.4"" H","139.8""",P265/65SR17,"42.3""","39.9""",Null,"4,654 lbs","6,260/6,260 lbs",Null,"6-cyl, Gas, 3.8L",Four Wheel Drive,Automatic,Blue/Black,,2']
1 year(s),No Accidents or Damage Reported,Null,7 Service Record(s) Reported,2022 Ford F150 XL,"$34,998*",26K miles,400 torque@3000rpm,325 horsepower@5000rpm,23 gal,"231.7"" L x 79.9"" W x 75.5"" H","145""",P245/70SR17,"43.9""","40.8""",Null,"4,345 lbs","5,000/5,000 lbs",20 city/26 hwy,"6-cyl, Turbo Gas, 2.7L",Rear Wheel Drive,Automatic,White/Black,,2']
4 year(s),,Null,,2019 Ford F150 Lariat,"$38,998*",44K miles,400 torque@4500rpm,395 horsepower@5750rpm,26 gal,"243.7"" L x 79.9"" W x 75.7"" H","157""",P265/60SR18,"43.9""","40.8""",Null,"4,628 lbs","5,000/5,000 lbs",17 city/23 hwy,"8-cyl, Gas, 5.0L",Rear Wheel Drive,Automatic,Black/Black,,2']
5 year(s),No Accidents or Damage Reported,Null,,2018 Chevrolet Silverado 1500 LT Z71,"$35,998*",53K miles,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,"8-cyl, , 5.3L",Null,Automatic,Black/Black,,2']
1 year(s),No Accidents or Damage Reported,Null,,2022 Ram 1500 Classic Tradesman,"$29,998*",13K miles,269 torque@4175rpm,305 horsepower@6400rpm,26 gal,"229"" L x 79.4"" W x 76.9"" H","140""",P265/70SR17,"41""","41""",Null,"4,929 lbs","4,530/4,530 lbs",17 city/25 hwy,"6-cyl, Gas, 3.6L",Rear Wheel Drive,Automatic,Burgundy/Gray,,2']
6 year(s),,Null,,2017 Chevrolet Silverado 1500 Work Truck,"$26,998*",93K miles,,,26 gal,Null,"143.5""",P255/70R17,"45.27""","42.80""",Null,"5,231 lbs","10,900/10,900 lbs",Null,"8-cyl, Gas, 5.3L",Four Wheel Drive,Automatic,White/Gray,,2']
1 year(s),No Accidents or Damage Reported,Null,,2022 Nissan Frontier PRO-4X,"$37,998*",18K miles,,,21.1 gal,"210.2"" L x 73"" W x 72.4"" H","126""",P265/70SR17,"42.3""","39.9""",Null,"4,716 lbs","2,844/2,844 lbs",Null,"6-cyl, Gas, 3.8L",Four Wheel Drive,Automatic,Gray/Black,,2']
3 year(s),,Null,,2020 Jeep Gladiator Overland,"$40,998*",17K miles,260 torque@4400rpm,285 horsepower@6400rpm,22 gal,"218"" L x 73.8"" W x 75"" H","137.3""",P255/70SR18,"41.2""","42.8""",Null,"4,720 lbs","4,000/4,000 lbs",16 city/23 hwy,"6-cyl, Gas, 3.6L",Null,Automatic,Red/Black,,2']
5 year(s),No Accidents or Damage Reported,Null,,2018 Nissan Frontier SV,"$26,998*",36K miles,281 torque@4000rpm,261 horsepower@5600rpm,21.1 gal,"205.5"" L x 72.8"" W x 70.1"" H","125.9""",P265/70TR16,"42.4""","39.9""",Null,"4,453 lbs","6,100/6,100 lbs",15 city/21 hwy,"6-cyl, Gas, 4.0L",Four Wheel Drive,Automatic,Red/Black,,2']
4 year(s),,Null,1 Service Record(s) Reported,2019 Chevrolet Silverado 1500 RST,"$36,998*",64K miles,383 torque@4100rpm,355 horsepower@5600rpm,24 gal,"231.7"" L x 81.24"" W x 75.51"" H","147.43""",265/65R18SL,"44.53""","43.03""",Null,"4,815 lbs","11,400/11,400 lbs",16 city,"8-cyl, Gas, 5.3L",Four Wheel Drive,Automatic,Blue/Black,,2']
6 year(s),No Accidents or Damage Reported,Null,,2017 Ford F150 XL,"$29,998*",45K miles,,,23 gal,"231.9"" L x 79.9"" W x 77.2"" H","145""",P265/70SR17,"43.9""","40.8""",Null,"4,647 lbs","5,000/5,000 lbs",17 city/23 hwy,"6-cyl, Turbo Gas, 2.7L",Four Wheel Drive,Automatic,White/Black,,2']
9 year(s),No Accidents or Damage Reported,Null,,2014 Ram 1500 Express,"$26,998*",42K miles,410 torque@3950rpm,395 horsepower@5600rpm,26 gal,"229"" L x 79.4"" W x 77.7"" H","140""",P275/60SR20,"41""","41""",Null,"5,063 lbs","4,250/4,250 lbs",13 city/19 hwy,"8-cyl, Gas, 5.7L",Four Wheel Drive,Automatic,Gray/Gray,,2']
4 year(s),No Accidents or Damage Reported,Null,,2019 Chevrolet Colorado LT,"$28,998*",49K miles,275 torque@4000rpm,308 horsepower@6800rpm,21 gal,"212.7"" L x 74.30"" W x 70.70"" H","128.30""",255/65R17,"45.00""","41.40""",Null,"3,926 lbs","7,700/7,700 lbs",18 city/25 hwy,"6-cyl, Gas, 3.6L",Rear Wheel Drive,Automatic,Black/Black,,2']
1 year(s),No Accidents or Damage Reported,Null,,2022 Nissan Frontier PRO-4X,"$36,998*",19K miles,,,21.1 gal,"210.2"" L x 73"" W x 72.4"" H","126""",P265/70SR17,"42.3""","39.9""",Null,"4,716 lbs","2,844/2,844 lbs",Null,"6-cyl, Gas, 3.8L",Four Wheel Drive,Automatic,Gray/Black,,2']
5 year(s),,Null,4 Service Record(s) Reported,2018 Chevrolet Silverado 1500 LT,"$25,998*",122K miles,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,"8-cyl, Gas, 5.3L",Null,Automatic,White/Black,,2']
5 year(s),,Null,,2018 Ford F150 XL,"$28,998*",47K miles,400 torque@4500rpm,395 horsepower@5750rpm,23 gal,"231.9"" L x 79.9"" W x 77.2"" H","145""",P265/70SR17,"43.9""","40.8""",Null,"4,668 lbs","5,000/5,000 lbs",16 city/22 hwy,"8-cyl, Gas, 5.0L",Four Wheel Drive,Automatic,Silver/Brown,,2']
